show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
Love 101,TV (Non-English),tt10516352,tvSeries,Love 101,Ask 101,0,2020,2021,40,"Comedy,Drama,Romance",7.4,16416,"nm3828643,nm3446789,nm5519375,nm2141029","Umut Aral, Ahmet Katiksiz, Gonenc Uyanik, Deniz Yorulmazer"
Monsters Inside: The 24 Faces of Billy Milligan,TV (English),tt15287836,tvMiniSeries,Monsters Inside: The 24 Faces of Billy Milligan,Monsters Inside: The 24 Faces of Billy Milligan,0,2021,2021,243,"Crime,Documentary",6.3,4576,nm0576298,Olivier Megaton
Jaguar,TV (Non-English),tt28510227,tvEpisode,Jaguar,Jaguar,0,2023,\N,\N,Reality-TV,,,\N,
Turning Point: 9/11 and the War on Terror,TV (English),tt15260794,tvMiniSeries,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror,0,2021,2021,312,"Documentary,History,War",7.9,10767,nm0460534,Brian Knappenberger
Sharkdog,TV (English),tt12211696,tvSeries,Sharkdog,Sharkdog,0,2021,\N,7,"Adventure,Animation,Comedy",6.1,221,nm9411363,S' Cephas
Hospital Playlist,TV (Non-English),tt11769304,tvSeries,Hospital Playlist,Seulgiroun Euisasaenghal,0,2020,2021,84,"Comedy,Drama,Romance",8.8,6942,nm5582157,Won Ho Shin
Carrossel,TV (Non-English),tt12048742,short,Carrossel,Carrossel,0,2020,\N,15,"Documentary,Short",,,nm10632829,Pedro Gabriel Miziara
The 100,TV (English),tt8535222,tvEpisode,The 100,The 100,0,2016,\N,\N,News,9.4,12,\N,
Octonauts: Above & Beyond,TV (English),tt15211330,tvSeries,Octonauts: Above & Beyond,Octonauts: Above & Beyond,0,2021,\N,\N,"Animation,Family",7.1,140,"nm2262791,nm1664311","Frank Rocco, Patrice Berube"
Dive Club,TV (English),tt13275052,tvSeries,Dive Club,Dive Club,0,2021,2021,27,"Adventure,Drama,Family",6.2,1159,"nm6026437,nm2790991,nm3044084","Christine Luby, Hayley MacFarlane, Rhiannon Bannenberg"
Into the Night,TV (Non-English),tt28239962,tvEpisode,Into the Night,Into the Night,0,2023,\N,\N,Adventure,,,\N,
Hotel Del Luna,TV (Non-English),tt10220588,tvSeries,Hotel Del Luna,Hotel Del Luna,0,2019,2019,80,"Action,Comedy,Drama",8.1,12129,nm8589259,Choong Hwan Oh
The Snitch Cartel: Origins,TV (Non-English),tt14417802,tvSeries,The Snitch Cartel: Origins,El Cartel de los Sapos - El Origen,0,2021,\N,60,"Crime,Drama",5.9,239,nm7989189,Daniel Arenas Samudio
The Chair,TV (English),tt27235870,tvEpisode,The Chair,The Chair,0,2023,\N,\N,"Horror,Thriller",,,nm4387937,Tim Drake
For Life,TV (English),tt5213694,short,For Life,For Life,0,2021,\N,9,"Action,Drama,Romance",,,nm5147791,Nancy Friedman
Hit & Run,TV (English),tt28460255,tvEpisode,Hit & Run,Hit & Run,0,2023,\N,\N,"Action,Adventure",,,nm14014946,Nate Lawson
AlRawabi School for Girls,TV (Non-English),tt10183912,tvMiniSeries,AlRawabi School for Girls,AlRawabi School for Girls,0,2021,2022,291,Drama,7.3,6879,nm4665381,Tima Shomali
Open Your Eyes,TV (Non-English),tt23860554,short,Open Your Eyes,Open Your Eyes,0,2023,\N,\N,"Drama,Short",,,\N,
The Cook of Castamar,TV (Non-English),tt12626014,tvSeries,The Cook of Castamar,La cocinera de Castamar,0,2021,2021,55,"Drama,Romance",7.4,4830,"nm1013662,nm0679261","Iñaki Peñafiel, Norberto López Amado"
